error(train),acc(train),error(valid),acc(valid),params_penalty
2.39930084,0.08462000,2.39021381,0.08270000,0.00000000
0.35137633,0.90334000,0.32077468,0.91230000,0.00000000
0.29219368,0.91754000,0.27410059,0.92310000,0.00000000
0.25474277,0.92682000,0.23913002,0.93250000,0.00000000
0.23085530,0.93484000,0.22095038,0.93780000,0.00000000
0.20400870,0.94284000,0.19841627,0.94450000,0.00000000
0.18550143,0.94792000,0.18285148,0.94900000,0.00000000
0.17135162,0.95190000,0.17190084,0.95260000,0.00000000
0.16248005,0.95408000,0.16481871,0.95350000,0.00000000
0.14886080,0.95848000,0.15419979,0.95710000,0.00000000
0.13838305,0.96136000,0.14626484,0.95940000,0.00000000
0.13272885,0.96298000,0.14185703,0.95940000,0.00000000
0.12324115,0.96576000,0.13453162,0.96130000,0.00000000
0.11983492,0.96658000,0.13237251,0.96140000,0.00000000
0.11045530,0.96968000,0.12566134,0.96480000,0.00000000
0.10650976,0.97040000,0.12180230,0.96610000,0.00000000
0.10060123,0.97194000,0.11905849,0.96710000,0.00000000
0.09573011,0.97400000,0.11510335,0.96820000,0.00000000
0.09524848,0.97340000,0.11601948,0.96810000,0.00000000
0.08821617,0.97592000,0.11047580,0.96850000,0.00000000
0.08521805,0.97646000,0.10976151,0.96810000,0.00000000
0.08241420,0.97742000,0.10679286,0.96940000,0.00000000
0.07833404,0.97864000,0.10382860,0.97080000,0.00000000
0.07569771,0.97998000,0.10274250,0.97050000,0.00000000
0.07336024,0.98022000,0.10170965,0.97090000,0.00000000
0.06978522,0.98124000,0.09865788,0.97150000,0.00000000
0.06932847,0.98138000,0.09901472,0.97070000,0.00000000
0.06592785,0.98242000,0.09708504,0.97240000,0.00000000
0.06357140,0.98278000,0.09666491,0.97180000,0.00000000
0.06203171,0.98316000,0.09580139,0.97210000,0.00000000
0.05993728,0.98430000,0.09506921,0.97240000,0.00000000
0.05761008,0.98514000,0.09349376,0.97310000,0.00000000
0.05564687,0.98548000,0.09219725,0.97310000,0.00000000
0.05391620,0.98628000,0.09066762,0.97350000,0.00000000
0.05333659,0.98598000,0.09232785,0.97330000,0.00000000
0.05087764,0.98704000,0.09024444,0.97320000,0.00000000
0.04918187,0.98740000,0.09033048,0.97280000,0.00000000
0.04898587,0.98726000,0.09075060,0.97260000,0.00000000
0.04690805,0.98832000,0.08832677,0.97420000,0.00000000
0.04506499,0.98894000,0.08753489,0.97360000,0.00000000
0.04406553,0.98940000,0.08730547,0.97410000,0.00000000
0.04313061,0.98956000,0.08747514,0.97410000,0.00000000
0.04158848,0.99016000,0.08800727,0.97400000,0.00000000
0.04101873,0.99024000,0.08774774,0.97480000,0.00000000
0.04052166,0.99026000,0.08838228,0.97390000,0.00000000
0.03881636,0.99088000,0.08792965,0.97450000,0.00000000
0.03822240,0.99104000,0.08659043,0.97480000,0.00000000
0.03666924,0.99182000,0.08655849,0.97460000,0.00000000
0.03586721,0.99180000,0.08529317,0.97460000,0.00000000
0.03436143,0.99250000,0.08587496,0.97520000,0.00000000
0.03345744,0.99274000,0.08462506,0.97510000,0.00000000
0.03381473,0.99270000,0.08637646,0.97430000,0.00000000
0.03166167,0.99338000,0.08444824,0.97570000,0.00000000
0.03104601,0.99356000,0.08393020,0.97580000,0.00000000
0.03044211,0.99348000,0.08391574,0.97570000,0.00000000
0.02956920,0.99374000,0.08371275,0.97480000,0.00000000
0.02975827,0.99388000,0.08560693,0.97450000,0.00000000
0.02921367,0.99402000,0.08618199,0.97430000,0.00000000
0.02757072,0.99458000,0.08334672,0.97510000,0.00000000
0.02681795,0.99500000,0.08455102,0.97600000,0.00000000
0.02613623,0.99496000,0.08385563,0.97570000,0.00000000
0.02588939,0.99542000,0.08434642,0.97510000,0.00000000
0.02507557,0.99564000,0.08349729,0.97670000,0.00000000
0.02428873,0.99592000,0.08385057,0.97580000,0.00000000
0.02432409,0.99538000,0.08347552,0.97600000,0.00000000
0.02339070,0.99582000,0.08330066,0.97600000,0.00000000
0.02268054,0.99656000,0.08299004,0.97660000,0.00000000
0.02243933,0.99632000,0.08384467,0.97630000,0.00000000
0.02232827,0.99622000,0.08319566,0.97590000,0.00000000
0.02123617,0.99652000,0.08256373,0.97620000,0.00000000
0.02108727,0.99670000,0.08430579,0.97630000,0.00000000
0.02057216,0.99700000,0.08432749,0.97620000,0.00000000
0.02073944,0.99704000,0.08642970,0.97560000,0.00000000
0.01967597,0.99724000,0.08330872,0.97600000,0.00000000
0.01951900,0.99736000,0.08459774,0.97620000,0.00000000
0.01937206,0.99710000,0.08369496,0.97610000,0.00000000
0.01907479,0.99708000,0.08416565,0.97500000,0.00000000
0.01802675,0.99764000,0.08371949,0.97590000,0.00000000
0.01763073,0.99776000,0.08327335,0.97610000,0.00000000
0.01751637,0.99780000,0.08455754,0.97560000,0.00000000
0.01695611,0.99800000,0.08405619,0.97650000,0.00000000
0.01655804,0.99808000,0.08418207,0.97640000,0.00000000
0.01623584,0.99818000,0.08493081,0.97670000,0.00000000
0.01608735,0.99826000,0.08530870,0.97630000,0.00000000
0.01591358,0.99818000,0.08423963,0.97560000,0.00000000
