error(train),acc(train),error(valid),acc(valid),params_penalty
2.47536685,0.09566000,2.48295052,0.09640000,0.00000000
0.34863383,0.90036000,0.32063375,0.90900000,0.00000000
0.30527818,0.91424000,0.28458348,0.91980000,0.00000000
0.28660689,0.91832000,0.27241538,0.92430000,0.00000000
0.26538984,0.92492000,0.25640846,0.92770000,0.00000000
0.24834829,0.93014000,0.24043814,0.93260000,0.00000000
0.23273437,0.93442000,0.22766498,0.93740000,0.00000000
0.21774839,0.93804000,0.21437026,0.94210000,0.00000000
0.20421857,0.94242000,0.20209204,0.94550000,0.00000000
0.19544569,0.94526000,0.19596758,0.94720000,0.00000000
0.17925238,0.94944000,0.18214084,0.95110000,0.00000000
0.16920085,0.95194000,0.17357228,0.95390000,0.00000000
0.16091612,0.95402000,0.16632734,0.95400000,0.00000000
0.15162548,0.95658000,0.16000640,0.95600000,0.00000000
0.14533126,0.95926000,0.15442425,0.95860000,0.00000000
0.13401755,0.96208000,0.14551421,0.95990000,0.00000000
0.12794301,0.96378000,0.14150101,0.96080000,0.00000000
0.12281882,0.96540000,0.13863575,0.96190000,0.00000000
0.11686807,0.96726000,0.13345537,0.96260000,0.00000000
0.11190169,0.96884000,0.12979514,0.96340000,0.00000000
0.10708105,0.97026000,0.12705006,0.96440000,0.00000000
0.10376946,0.97086000,0.12392884,0.96380000,0.00000000
0.09804974,0.97272000,0.12074284,0.96590000,0.00000000
0.09492636,0.97382000,0.11836387,0.96580000,0.00000000
0.09172580,0.97458000,0.11602710,0.96610000,0.00000000
0.08871385,0.97568000,0.11377448,0.96720000,0.00000000
0.08760823,0.97546000,0.11418510,0.96860000,0.00000000
0.08273809,0.97756000,0.11035757,0.96640000,0.00000000
0.08009524,0.97828000,0.10856632,0.96750000,0.00000000
0.07814530,0.97882000,0.10769333,0.96830000,0.00000000
0.07530460,0.97954000,0.10627781,0.96900000,0.00000000
0.07185161,0.98058000,0.10402052,0.97030000,0.00000000
0.07236056,0.98048000,0.10561788,0.96990000,0.00000000
0.06843475,0.98160000,0.10242889,0.96930000,0.00000000
0.06528689,0.98260000,0.09958998,0.97040000,0.00000000
0.06314032,0.98342000,0.09859844,0.97040000,0.00000000
0.06250980,0.98336000,0.09876424,0.97100000,0.00000000
0.05973042,0.98454000,0.09626987,0.97120000,0.00000000
0.05896691,0.98480000,0.09789208,0.97000000,0.00000000
0.05762597,0.98514000,0.09592770,0.97180000,0.00000000
