error(train),acc(train),error(valid),acc(valid),params_penalty
56.58969000,0.05966000,56.46543291,0.05630000,0.00000000
1.30778138,0.86172000,1.20522756,0.87330000,0.00000000
0.90964363,0.87206000,0.87498307,0.88130000,0.00000000
0.79203443,0.86786000,0.78324394,0.87390000,0.00000000
0.54435590,0.89578000,0.53422634,0.89880000,0.00000000
0.50516256,0.89454000,0.50682430,0.89590000,0.00000000
0.40175531,0.90802000,0.41036642,0.90630000,0.00000000
0.33421360,0.91888000,0.34755481,0.91720000,0.00000000
0.31920432,0.91958000,0.33311534,0.91700000,0.00000000
0.29399358,0.92246000,0.31005968,0.91790000,0.00000000
0.30983203,0.91582000,0.32323714,0.91340000,0.00000000
0.26108811,0.92934000,0.27950507,0.92460000,0.00000000
0.25985773,0.92798000,0.28014901,0.92410000,0.00000000
0.27248242,0.92234000,0.28389411,0.91870000,0.00000000
0.24868361,0.92910000,0.26477106,0.92390000,0.00000000
0.22236430,0.93764000,0.24046047,0.93070000,0.00000000
0.22401782,0.93714000,0.24532252,0.92920000,0.00000000
0.23384982,0.93344000,0.25604577,0.92850000,0.00000000
0.21178303,0.93958000,0.23745543,0.93150000,0.00000000
0.21064292,0.93956000,0.23262803,0.93260000,0.00000000
0.20519997,0.94222000,0.23166528,0.93620000,0.00000000
0.19703340,0.94390000,0.22074087,0.93760000,0.00000000
0.18558560,0.94722000,0.21433498,0.94050000,0.00000000
0.18940429,0.94500000,0.21930428,0.93630000,0.00000000
0.18142431,0.94738000,0.21238541,0.93940000,0.00000000
0.18010603,0.94830000,0.21250096,0.93890000,0.00000000
0.18649870,0.94640000,0.22028990,0.93930000,0.00000000
0.17094808,0.95082000,0.20519167,0.94190000,0.00000000
0.17022371,0.94984000,0.20256409,0.94360000,0.00000000
0.16647239,0.95106000,0.20254808,0.94070000,0.00000000
0.16542402,0.95144000,0.20771860,0.94010000,0.00000000
0.15827165,0.95354000,0.19722247,0.94540000,0.00000000
0.15320449,0.95606000,0.19315056,0.94760000,0.00000000
0.15237206,0.95574000,0.19514968,0.94610000,0.00000000
0.14948357,0.95660000,0.18915758,0.94680000,0.00000000
0.14509285,0.95810000,0.19019763,0.94720000,0.00000000
0.14654758,0.95748000,0.18738622,0.94770000,0.00000000
0.14008962,0.95958000,0.18228080,0.94970000,0.00000000
0.13876487,0.95906000,0.18462704,0.94810000,0.00000000
0.13641529,0.96054000,0.18318448,0.94970000,0.00000000
0.13350465,0.96140000,0.17990472,0.95120000,0.00000000
0.13687320,0.96002000,0.17957832,0.95170000,0.00000000
0.13336622,0.96124000,0.18259736,0.94890000,0.00000000
0.12802809,0.96298000,0.17844439,0.95160000,0.00000000
0.12481421,0.96486000,0.17341075,0.95290000,0.00000000
0.12755376,0.96316000,0.17604907,0.95120000,0.00000000
0.12149787,0.96524000,0.17289800,0.95250000,0.00000000
0.12490402,0.96392000,0.17731174,0.95280000,0.00000000
0.11821992,0.96672000,0.17446163,0.95150000,0.00000000
0.11982020,0.96534000,0.17801474,0.95100000,0.00000000
0.11547597,0.96668000,0.16828183,0.95350000,0.00000000
0.11322293,0.96690000,0.17374169,0.95250000,0.00000000
0.11246778,0.96750000,0.16918894,0.95280000,0.00000000
0.11366629,0.96736000,0.17066565,0.95310000,0.00000000
0.11203660,0.96706000,0.16933079,0.95240000,0.00000000
0.11115841,0.96706000,0.17077749,0.95460000,0.00000000
0.10850835,0.96826000,0.16799991,0.95420000,0.00000000
0.10810295,0.96884000,0.16628092,0.95360000,0.00000000
0.10280306,0.97098000,0.16385429,0.95470000,0.00000000
0.10412719,0.96988000,0.16984044,0.95370000,0.00000000
0.10102812,0.97066000,0.16366348,0.95580000,0.00000000
0.10624856,0.96846000,0.17087411,0.95270000,0.00000000
0.10075254,0.97036000,0.16728507,0.95380000,0.00000000
0.09695963,0.97204000,0.16334039,0.95500000,0.00000000
0.09591527,0.97260000,0.16652095,0.95460000,0.00000000
0.09412660,0.97264000,0.16324083,0.95680000,0.00000000
0.09195402,0.97320000,0.16170123,0.95610000,0.00000000
0.09071505,0.97370000,0.16197954,0.95540000,0.00000000
0.09106315,0.97318000,0.16101766,0.95570000,0.00000000
0.09084552,0.97390000,0.16522974,0.95470000,0.00000000
0.09108607,0.97308000,0.16549321,0.95380000,0.00000000
0.08577067,0.97558000,0.15865228,0.95690000,0.00000000
0.08420658,0.97592000,0.16001586,0.95710000,0.00000000
0.08528515,0.97528000,0.16149108,0.95710000,0.00000000
0.08455283,0.97508000,0.16164216,0.95670000,0.00000000
0.08121166,0.97680000,0.15925498,0.95650000,0.00000000
0.08460038,0.97490000,0.16667744,0.95500000,0.00000000
0.08184410,0.97606000,0.16277160,0.95720000,0.00000000
0.08092744,0.97590000,0.16187004,0.95620000,0.00000000
0.07935490,0.97680000,0.15881699,0.95750000,0.00000000
0.07882110,0.97638000,0.16170459,0.95660000,0.00000000
0.07556252,0.97868000,0.15848658,0.95790000,0.00000000
0.07489272,0.97862000,0.15769092,0.95790000,0.00000000
0.07708732,0.97702000,0.16416460,0.95480000,0.00000000
0.07423890,0.97840000,0.15846379,0.95860000,0.00000000
0.07471349,0.97752000,0.16275082,0.95720000,0.00000000
0.07330371,0.97864000,0.16224216,0.95650000,0.00000000
0.06950120,0.97962000,0.15782839,0.95900000,0.00000000
0.06866688,0.98028000,0.15886921,0.95800000,0.00000000
0.06860628,0.97990000,0.15870308,0.95770000,0.00000000
0.06974775,0.97988000,0.16399220,0.95660000,0.00000000
0.06929117,0.97922000,0.16160723,0.95730000,0.00000000
0.06556924,0.98138000,0.15897645,0.95780000,0.00000000
0.06437123,0.98150000,0.15833359,0.95820000,0.00000000
0.06592291,0.98056000,0.16012272,0.95740000,0.00000000
0.06338944,0.98180000,0.16112701,0.95760000,0.00000000
0.06245749,0.98186000,0.15768388,0.95900000,0.00000000
0.06207084,0.98220000,0.15880177,0.95910000,0.00000000
