error(train),acc(train),error(valid),acc(valid),params_penalty
2.57945845,0.10530000,2.56730987,0.10490000,0.00000000
0.34437733,0.90390000,0.31709990,0.91090000,0.00000000
0.30674024,0.91342000,0.28990777,0.91910000,0.00000000
0.27928681,0.91936000,0.26341642,0.92410000,0.00000000
0.26454913,0.92540000,0.25392026,0.92600000,0.00000000
0.24162437,0.93150000,0.23483641,0.93290000,0.00000000
0.22618491,0.93650000,0.22139977,0.93800000,0.00000000
0.21214104,0.94018000,0.20990567,0.94230000,0.00000000
0.20355021,0.94190000,0.20283188,0.94390000,0.00000000
0.18729185,0.94728000,0.18939192,0.94850000,0.00000000
0.17513937,0.95046000,0.18036259,0.95080000,0.00000000
0.16700948,0.95288000,0.17276034,0.95280000,0.00000000
0.15506851,0.95634000,0.16327120,0.95590000,0.00000000
0.15130986,0.95692000,0.15994889,0.95660000,0.00000000
0.13903862,0.96078000,0.15041653,0.95890000,0.00000000
0.13334291,0.96200000,0.14463876,0.95960000,0.00000000
0.12627044,0.96456000,0.14062762,0.96190000,0.00000000
0.12028238,0.96646000,0.13466866,0.96210000,0.00000000
0.11766214,0.96688000,0.13377697,0.96260000,0.00000000
0.10962947,0.96978000,0.12652011,0.96440000,0.00000000
0.10578943,0.97040000,0.12529851,0.96460000,0.00000000
0.10143292,0.97174000,0.12097416,0.96530000,0.00000000
0.09761482,0.97286000,0.11792490,0.96570000,0.00000000
0.09369828,0.97410000,0.11544220,0.96700000,0.00000000
0.09081024,0.97484000,0.11434479,0.96700000,0.00000000
0.08675092,0.97646000,0.11021951,0.96720000,0.00000000
0.08511803,0.97656000,0.11036383,0.96820000,0.00000000
0.08112082,0.97744000,0.10814908,0.96830000,0.00000000
0.07858599,0.97834000,0.10629504,0.96830000,0.00000000
0.07644768,0.97894000,0.10499945,0.96820000,0.00000000
0.07426908,0.97968000,0.10355129,0.96960000,0.00000000
0.07139212,0.98080000,0.10239332,0.96900000,0.00000000
0.06920750,0.98130000,0.10106980,0.96960000,0.00000000
0.06704861,0.98132000,0.09841345,0.97080000,0.00000000
0.06614274,0.98180000,0.10070133,0.97030000,0.00000000
0.06308019,0.98340000,0.09774618,0.97060000,0.00000000
0.06113438,0.98334000,0.09706165,0.97030000,0.00000000
0.06081382,0.98356000,0.09767675,0.97180000,0.00000000
0.05820407,0.98446000,0.09532851,0.97160000,0.00000000
0.05624564,0.98472000,0.09433205,0.97240000,0.00000000
0.05492797,0.98538000,0.09351147,0.97240000,0.00000000
0.05355862,0.98600000,0.09347907,0.97250000,0.00000000
0.05187498,0.98620000,0.09335290,0.97190000,0.00000000
0.05064433,0.98700000,0.09227098,0.97280000,0.00000000
0.05121927,0.98612000,0.09379472,0.97170000,0.00000000
0.04826158,0.98722000,0.09276996,0.97210000,0.00000000
0.04698992,0.98792000,0.09078427,0.97310000,0.00000000
0.04548669,0.98826000,0.09096103,0.97300000,0.00000000
0.04483491,0.98842000,0.09012142,0.97290000,0.00000000
0.04320437,0.98914000,0.09073626,0.97300000,0.00000000
0.04203371,0.98950000,0.08927587,0.97310000,0.00000000
0.04185391,0.98968000,0.09078563,0.97310000,0.00000000
0.04017472,0.99050000,0.08899690,0.97450000,0.00000000
0.03926660,0.99042000,0.08834072,0.97350000,0.00000000
0.03873433,0.99066000,0.08969840,0.97300000,0.00000000
0.03742220,0.99152000,0.08849035,0.97380000,0.00000000
0.03741331,0.99080000,0.08984429,0.97440000,0.00000000
0.03610455,0.99140000,0.08947484,0.97400000,0.00000000
0.03470919,0.99222000,0.08728239,0.97390000,0.00000000
0.03412167,0.99230000,0.08762651,0.97470000,0.00000000
0.03324411,0.99240000,0.08724123,0.97400000,0.00000000
0.03259516,0.99302000,0.08685598,0.97400000,0.00000000
0.03152107,0.99324000,0.08690469,0.97390000,0.00000000
0.03066035,0.99356000,0.08739027,0.97450000,0.00000000
0.03067837,0.99338000,0.08738137,0.97470000,0.00000000
0.02941026,0.99384000,0.08583977,0.97570000,0.00000000
0.02891320,0.99432000,0.08602225,0.97580000,0.00000000
0.02834615,0.99410000,0.08618688,0.97530000,0.00000000
0.02834801,0.99410000,0.08621806,0.97470000,0.00000000
0.02704144,0.99476000,0.08589006,0.97590000,0.00000000
0.02651913,0.99482000,0.08678727,0.97570000,0.00000000
0.02644958,0.99458000,0.08759120,0.97500000,0.00000000
0.02619359,0.99482000,0.08864782,0.97480000,0.00000000
0.02545378,0.99546000,0.08775156,0.97520000,0.00000000
0.02461238,0.99552000,0.08662398,0.97520000,0.00000000
0.02407892,0.99568000,0.08579308,0.97540000,0.00000000
0.02409037,0.99528000,0.08725627,0.97520000,0.00000000
0.02348549,0.99562000,0.08674300,0.97460000,0.00000000
0.02252756,0.99590000,0.08568322,0.97510000,0.00000000
0.02205212,0.99622000,0.08623346,0.97590000,0.00000000
0.02128331,0.99666000,0.08635364,0.97540000,0.00000000
0.02103734,0.99672000,0.08585400,0.97600000,0.00000000
0.02077636,0.99652000,0.08663722,0.97670000,0.00000000
0.02051706,0.99680000,0.08756815,0.97490000,0.00000000
0.02028423,0.99634000,0.08694324,0.97580000,0.00000000
0.01942964,0.99698000,0.08596961,0.97630000,0.00000000
0.01923667,0.99726000,0.08740444,0.97580000,0.00000000
0.01877724,0.99694000,0.08679110,0.97580000,0.00000000
0.01861760,0.99740000,0.08651415,0.97500000,0.00000000
0.01827034,0.99716000,0.08631672,0.97640000,0.00000000
0.01768003,0.99748000,0.08705172,0.97600000,0.00000000
0.01756466,0.99756000,0.08688209,0.97510000,0.00000000
0.01703419,0.99790000,0.08739422,0.97620000,0.00000000
0.01712664,0.99768000,0.08720983,0.97560000,0.00000000
0.01645024,0.99808000,0.08775877,0.97580000,0.00000000
0.01589234,0.99798000,0.08617905,0.97610000,0.00000000
0.01554500,0.99824000,0.08665502,0.97590000,0.00000000
0.01518570,0.99824000,0.08682003,0.97620000,0.00000000
0.01515287,0.99842000,0.08776521,0.97650000,0.00000000
0.01501609,0.99828000,0.08746476,0.97610000,0.00000000
0.01477647,0.99826000,0.08763270,0.97510000,0.00000000
